issue_group,rule_id,metric_label,pre_count,post_count,delta_count,pre_percent,post_percent,delta_percent
Completeness,R_APP_002,Missing required applicant fields,8,8,0,1.59,1.59,0.0
Validity,R_APP_005,Invalid email format,4,4,0,0.8,0.8,0.0
Consistency,R_APP_006,Gender requires standardisation,111,0,-111,22.11,0.0,-22.11
Consistency,R_APP_008,DOB not in ISO format,157,0,-157,31.27,0.0,-31.27
Consistency,R_APP_009,DOB ambiguity,39,39,0,7.77,7.77,0.0
,R_APP_010,Annual income coercion issue,0,0,0,0.0,0.0,0.0
Consistency,R_APP_011,Annual salary field drift,5,5,0,1.0,1.0,0.0
Validity,R_APP_012,Negative credit history months,2,0,-2,0.4,0.0,-0.4
Validity,R_APP_013,Negative savings balance,1,0,-1,0.2,0.0,-0.2
Validity,R_APP_014,Debt-to-income out of range,1,0,-1,0.2,0.0,-0.2
Cross-field logic,R_APP_018,Approved with credit history under 6 months,18,17,-1,3.59,3.39,-0.2
,R_SPN_001,Spending missing category,0,0,0,0.0,0.0,0.0
,R_SPN_002,Spending amount invalid,0,0,0,0.0,0.0,0.0
,R_SPN_003,Spending amount negative,0,0,0,0.0,0.0,0.0
Uniqueness,R_DUP_001,Duplicate application_id rows,4,4,0,0.8,0.8,0.0
Uniqueness,R_DUP_CONFLICT,Duplicate conflict IDs,1,1,0,0.2,0.2,0.0
Remediation,R_DUP_CANONICAL,Canonical rows retained for analysis,502,500,-2,100.0,99.6,-0.4
