dataset,field_name,field_path,description,data_type_observed,data_type_expected,nullable,allowed_values_or_range,example_redacted,pii_classification,transform_lineage,used_in_rules,present_in_outputs
applications_analysis,age_band,age_band,Derived privacy-preserving age grouping.,str,,True,25-34|35-44|45-54|55-64|65+|<25,<NA>,Non-PII,derived_for_analysis_privacy,,applications_analysis
applications_analysis,age_band_missing_flag,age_band_missing_flag,Derived validation/remediation indicator.,bool,,False,True|False,True,Non-PII,validation_or_cleaning_logic -> flag,,applications_analysis
applications_analysis,applicant_pseudo_id,applicant_pseudo_id,Privacy-preserving pseudonymization output.,str,,False,,fc4fb76803a008529455aa4130a4c9f4a5f72...,Quasi-PII,derived_for_analysis_privacy,,applications_analysis
applications_analysis,application_id,_id,External application identifier.,str,string,False,,app_001,Quasi-PII,pipeline_derived_or_passthrough,R_DUP_001|R_DUP_002|R_DUP_003|R_DUP_004|R_DUP_CANONICAL|R_DUP_CONFLICT,applications_analysis|applications_curated_full|duplicate_id_report|spending_items_clean
applications_analysis,clean_annual_income,clean_annual_income,Standardized/cleaned field derived during remediation.,float,,False,"[0.0, 171000.0]",102000.0,Non-PII,cleaning_logic -> clean_annual_income,,applications_analysis|applications_curated_full
applications_analysis,clean_approved_amount,clean_approved_amount,Standardized/cleaned field derived during remediation.,float,,True,"[15000.0, 80000.0]",76000.0,Non-PII,cleaning_logic -> clean_approved_amount,R_APP_015,applications_analysis|applications_curated_full
applications_analysis,clean_credit_history_months,clean_credit_history_months,Standardized/cleaned field derived during remediation.,int,,True,>=0,37,Non-PII,cleaning_logic -> clean_credit_history_months,R_APP_012|R_APP_017|R_APP_018,applications_analysis|applications_curated_full
applications_analysis,clean_debt_to_income,clean_debt_to_income,Standardized/cleaned field derived during remediation.,float,,True,"[0,1]",0.42,Non-PII,cleaning_logic -> clean_debt_to_income,R_APP_014,applications_analysis|applications_curated_full
applications_analysis,clean_gender,clean_gender,Standardized/cleaned field derived during remediation.,str,,True,Male|Female,Male,Non-PII,cleaning_logic -> clean_gender,R_APP_002|R_APP_006|R_APP_007,applications_analysis|applications_curated_full
applications_analysis,clean_interest_rate,clean_interest_rate,Standardized/cleaned field derived during remediation.,float,,True,"[2.5, 6.5]",3.4,Non-PII,cleaning_logic -> clean_interest_rate,R_APP_015,applications_analysis|applications_curated_full
applications_analysis,clean_loan_approved,clean_loan_approved,Standardized/cleaned field derived during remediation.,bool,,False,False|True,False,Non-PII,cleaning_logic -> clean_loan_approved,R_APP_015|R_APP_016|R_APP_017|R_APP_018,applications_analysis|applications_curated_full
applications_analysis,clean_rejection_reason,clean_rejection_reason,Standardized/cleaned field derived during remediation.,str,,True,algorithm_risk_score|high_dti_ratio|insufficient_credit_history|low_income,high_dti_ratio,Non-PII,cleaning_logic -> clean_rejection_reason,R_APP_016,applications_analysis|applications_curated_full
applications_analysis,clean_savings_balance,clean_savings_balance,Standardized/cleaned field derived during remediation.,float,,True,>=0,0.0,Non-PII,cleaning_logic -> clean_savings_balance,R_APP_013,applications_analysis|applications_curated_full
applications_analysis,clean_zip_code,clean_zip_code,Standardized/cleaned field derived during remediation.,str,,True,,<NA>,Quasi-PII,cleaning_logic -> clean_zip_code,R_APP_002,applications_analysis|applications_curated_full
applications_analysis,pseudo_id_fallback_used_flag,pseudo_id_fallback_used_flag,Derived validation/remediation indicator.,bool,,False,True|False,True,Quasi-PII,validation_or_cleaning_logic -> flag,,applications_analysis
