stage,rule_id,rule_key,rule_family,issue_type,field_path,field_path_annotated,source_columns,value_source,dataset_scope,denominator,count_unit,severity,description
post,R_APP_001,flag_missing_processing_timestamp,APP,Completeness,processing_timestamp,processing_timestamp_clean,clean_processing_timestamp,clean,curated,application_rows,rows,high,Missing or blank processing timestamp.
post,R_APP_002,flag_missing_required_applicant_field,APP,Completeness,applicant_info.*,applicant_info.required_fields_mixed,raw_applicant_full_name|clean_email|raw_applicant_ssn|raw_applicant_ip_address|clean_gender|clean_date_of_birth|clean_zip_code,derived,curated,application_rows,rows,high,One or more required applicant fields missing or blank.
post,R_APP_003,flag_missing_ssn_and_ip,APP,Completeness,applicant_info.ssn|applicant_info.ip_address,applicant_info.ssn_raw|applicant_info.ip_address_raw,raw_applicant_ssn|raw_applicant_ip_address,raw,curated,application_rows,rows,high,Both SSN and IP address missing/blank.
post,R_APP_004,flag_blank_email,APP,Completeness,applicant_info.email,applicant_info.email_clean,clean_email,clean,curated,application_rows,rows,medium,Email missing or blank.
post,R_APP_005,flag_invalid_email,APP,Validity,applicant_info.email,applicant_info.email_clean,clean_email,clean,curated,application_rows,rows,medium,Email does not match expected format.
post,R_APP_006,flag_gender_needs_normalisation,APP,Consistency,applicant_info.gender,applicant_info.gender_clean,clean_gender,clean,curated,application_rows,rows,low,Gender remains non-canonical after cleaning.
post,R_APP_007,flag_invalid_gender,APP,Validity,applicant_info.gender,applicant_info.gender_clean,clean_gender|gender_invalid_flag,derived,curated,application_rows,rows,medium,Gender outside allowed source set.
post,R_APP_008,flag_dob_non_iso_format,APP,Consistency,applicant_info.date_of_birth,applicant_info.date_of_birth_clean,clean_date_of_birth,clean,curated,application_rows,rows,low,Clean DOB is non-ISO after parsing.
post,R_APP_009,flag_dob_ambiguous_format,APP,Consistency,applicant_info.date_of_birth,applicant_info.date_of_birth_raw,dob_ambiguous_flag,derived,curated,application_rows,rows,medium,"DOB ambiguity flag carried from cleaning stage. Rule: When DOB is NN/NN/YYYY and both NN <= 12, parse as MM/DD/YYYY."
post,R_APP_010,flag_annual_income_string_type,APP,Consistency,financials.annual_income,financials.annual_income_clean,annual_income_coerce_failed_flag,derived,curated,application_rows,rows,low,Annual income could not be coerced to numeric after cleaning.
post,R_APP_011,flag_financial_field_drift_salary,APP,Consistency,financials.annual_salary,financials.annual_income_clean,annual_income_from_salary_flag,derived,curated,application_rows,rows,medium,Annual salary provided while annual income missing (field drift).
post,R_APP_012,flag_credit_history_negative,APP,Validity,financials.credit_history_months,financials.credit_history_months_clean,clean_credit_history_months,clean,curated,application_rows,rows,high,Credit history months is negative.
post,R_APP_013,flag_savings_negative,APP,Validity,financials.savings_balance,financials.savings_balance_clean,clean_savings_balance,clean,curated,application_rows,rows,high,Savings balance is negative.
post,R_APP_014,flag_dti_out_of_range,APP,Validity,financials.debt_to_income,financials.debt_to_income_clean,clean_debt_to_income,clean,curated,application_rows,rows,high,"Debt-to-income is outside [0, 1]."
post,R_APP_015,flag_approved_missing_required_fields,APP,Cross-field logic,decision.loan_approved,decision.loan_approved_clean,clean_loan_approved|clean_approved_amount|clean_interest_rate,clean,curated,application_rows,rows,high,Approved loan missing approved_amount and/or interest_rate.
post,R_APP_016,flag_rejected_missing_reason,APP,Cross-field logic,decision.rejection_reason,decision.loan_approved_clean|decision.rejection_reason_clean,clean_loan_approved|clean_rejection_reason,clean,curated,application_rows,rows,medium,Rejected loan missing rejection_reason.
post,R_APP_017,flag_approved_credit_history_zero,APP,Plausibility,financials.credit_history_months,decision.loan_approved_clean|financials.credit_history_months_clean,clean_loan_approved|clean_credit_history_months,clean,curated,application_rows,rows,medium,Loan approved with zero months of credit history.
post,R_APP_018,flag_approved_credit_history_lt6,APP,Plausibility,financials.credit_history_months,decision.loan_approved_clean|financials.credit_history_months_clean,clean_loan_approved|clean_credit_history_months,clean,curated,application_rows,rows,medium,Loan approved with less than 6 months of credit history.
post,R_APP_019,flag_private_ip_address,APP,Synthetic indicator,applicant_info.ip_address,applicant_info.ip_address_raw,raw_applicant_ip_address,raw,curated,application_rows,rows,low,IP address is private-range (likely masked/synthetic).
post,R_DUP_001,dup_rows_application_id,DUP,Uniqueness,_id,_id_duplicate_rows,application_id|is_duplicate_id,metadata,quality,application_rows,rows,high,Rows with duplicated application_id values.
post,R_DUP_002,dup_distinct_application_id,DUP,Uniqueness,_id,_id_duplicate_distinct_ids,application_id,metadata,quality,application_rows,distinct_ids,high,Distinct application_id keys that are duplicated.
post,R_DUP_003,dup_rows_ssn,DUP,Uniqueness,applicant_info.ssn,applicant_info.ssn_duplicate_rows,raw_applicant_ssn|application_id,raw,quality,application_rows,rows,high,Rows where SSN repeats across one or more records.
post,R_DUP_004,dup_distinct_ssn_cross_app,DUP,Uniqueness,applicant_info.ssn,applicant_info.ssn_cross_application_distinct,raw_applicant_ssn|application_id,raw,quality,application_rows,distinct_ids,high,Distinct SSN values that appear across different application IDs.
post,R_DUP_CANONICAL,kpi_canonical_rows_selected,KPI,KPI,_id,_id_canonical_analysis_rows,is_canonical_for_analysis|application_row_id|application_id,metadata,quality,application_rows,rows,low,Rows selected as canonical records for analysis output.
post,R_DUP_CONFLICT,kpi_duplicate_conflict_ids,KPI,KPI,_id,_id_duplicate_conflict_distinct,classification|application_id,metadata,quality,application_rows,distinct_ids,medium,Distinct application_id values classified as duplicate conflicts.
post,R_SPN_001,flag_spending_missing_category,SPN,Completeness,spending_behavior[].category,spending_behavior[].category_clean,category_clean,clean,curated,spending_rows,rows,medium,Spending category missing or blank.
post,R_SPN_002,flag_spending_amount_non_numeric,SPN,Validity,spending_behavior[].amount,spending_behavior[].amount_clean,amount_non_numeric_flag,derived,curated,spending_rows,rows,high,Spending amount cannot be parsed as numeric.
post,R_SPN_003,flag_spending_amount_negative,SPN,Validity,spending_behavior[].amount,spending_behavior[].amount_clean,amount_clean,clean,curated,spending_rows,rows,high,Clean spending amount remains negative after remediation.
pre,R_APP_001,flag_missing_processing_timestamp,APP,Completeness,processing_timestamp,processing_timestamp_raw,raw_processing_timestamp,raw,raw,application_rows,rows,high,Missing or blank processing timestamp.
pre,R_APP_002,flag_missing_required_applicant_field,APP,Completeness,applicant_info.*,applicant_info.required_fields_raw,raw_applicant_full_name|raw_applicant_email|raw_applicant_ssn|raw_applicant_ip_address|raw_applicant_gender|raw_applicant_date_of_birth|raw_applicant_zip_code,raw,raw,application_rows,rows,high,One or more required applicant fields missing or blank.
pre,R_APP_003,flag_missing_ssn_and_ip,APP,Completeness,applicant_info.ssn|applicant_info.ip_address,applicant_info.ssn_raw|applicant_info.ip_address_raw,raw_applicant_ssn|raw_applicant_ip_address,raw,raw,application_rows,rows,high,Both SSN and IP address missing/blank.
pre,R_APP_004,flag_blank_email,APP,Completeness,applicant_info.email,applicant_info.email_raw,raw_applicant_email,raw,raw,application_rows,rows,medium,Email missing or blank.
pre,R_APP_005,flag_invalid_email,APP,Validity,applicant_info.email,applicant_info.email_raw,raw_applicant_email,raw,raw,application_rows,rows,medium,Email does not match expected format.
pre,R_APP_006,flag_gender_needs_normalisation,APP,Consistency,applicant_info.gender,applicant_info.gender_raw,raw_applicant_gender,raw,raw,application_rows,rows,low,Gender value requires canonical mapping (M/F to Male/Female).
pre,R_APP_007,flag_invalid_gender,APP,Validity,applicant_info.gender,applicant_info.gender_raw,raw_applicant_gender,raw,raw,application_rows,rows,medium,Gender outside allowed source set.
