stage,issue_type,field_path,rule_id,description,count,percent,severity,example_application_ids,rule_key,rule_family,field_path_annotated,source_columns,value_source,dataset_scope,denominator,count_unit
post,Completeness,processing_timestamp,R_APP_001,Missing or blank processing timestamp.,440,87.65,high,app_001|app_002|app_003|app_004|app_005,flag_missing_processing_timestamp,APP,processing_timestamp_clean,clean_processing_timestamp,clean,curated,application_rows,rows
post,Completeness,applicant_info.*,R_APP_002,One or more required applicant fields missing or blank.,8,1.59,high,app_001|app_075|app_120|app_165|app_268,flag_missing_required_applicant_field,APP,applicant_info.required_fields_mixed,raw_applicant_full_name|clean_email|raw_applicant_ssn|raw_applicant_ip_address|clean_gender|clean_date_of_birth|clean_zip_code,derived,curated,application_rows,rows
post,Completeness,applicant_info.ssn|applicant_info.ip_address,R_APP_003,Both SSN and IP address missing/blank.,5,1.0,high,app_001|app_075|app_120|app_165|app_268,flag_missing_ssn_and_ip,APP,applicant_info.ssn_raw|applicant_info.ip_address_raw,raw_applicant_ssn|raw_applicant_ip_address,raw,curated,application_rows,rows
post,Completeness,applicant_info.email,R_APP_004,Email missing or blank.,7,1.39,medium,app_075|app_120|app_165|app_268|app_350,flag_blank_email,APP,applicant_info.email_clean,clean_email,clean,curated,application_rows,rows
post,Validity,applicant_info.email,R_APP_005,Email does not match expected format.,4,0.8,medium,app_068|app_146|app_204|app_299,flag_invalid_email,APP,applicant_info.email_clean,clean_email,clean,curated,application_rows,rows
post,Consistency,applicant_info.gender,R_APP_006,Gender remains non-canonical after cleaning.,0,0.0,low,,flag_gender_needs_normalisation,APP,applicant_info.gender_clean,clean_gender,clean,curated,application_rows,rows
post,Validity,applicant_info.gender,R_APP_007,Gender outside allowed source set.,0,0.0,medium,,flag_invalid_gender,APP,applicant_info.gender_clean,clean_gender|gender_invalid_flag,derived,curated,application_rows,rows
post,Consistency,applicant_info.date_of_birth,R_APP_008,Clean DOB is non-ISO after parsing.,0,0.0,low,,flag_dob_non_iso_format,APP,applicant_info.date_of_birth_clean,clean_date_of_birth,clean,curated,application_rows,rows
post,Consistency,applicant_info.date_of_birth,R_APP_009,DOB format is ambiguous NN/NN/YYYY.,39,7.77,medium,app_021|app_086|app_089|app_091|app_130,flag_dob_ambiguous_format,APP,applicant_info.date_of_birth_raw,dob_ambiguous_flag,derived,curated,application_rows,rows
post,Consistency,financials.annual_income,R_APP_010,Annual income could not be coerced to numeric after cleaning.,0,0.0,low,,flag_annual_income_string_type,APP,financials.annual_income_clean,annual_income_coerce_failed_flag,derived,curated,application_rows,rows
post,Consistency,financials.annual_salary,R_APP_011,Annual salary provided while annual income missing (field drift).,5,1.0,medium,app_421|app_436|app_449|app_463|app_479,flag_financial_field_drift_salary,APP,financials.annual_income_clean,annual_income_from_salary_flag,derived,curated,application_rows,rows
post,Validity,financials.credit_history_months,R_APP_012,Credit history months is negative.,0,0.0,high,,flag_credit_history_negative,APP,financials.credit_history_months_clean,clean_credit_history_months,clean,curated,application_rows,rows
post,Validity,financials.savings_balance,R_APP_013,Savings balance is negative.,0,0.0,high,,flag_savings_negative,APP,financials.savings_balance_clean,clean_savings_balance,clean,curated,application_rows,rows
post,Validity,financials.debt_to_income,R_APP_014,"Debt-to-income is outside [0, 1].",0,0.0,high,,flag_dti_out_of_range,APP,financials.debt_to_income_clean,clean_debt_to_income,clean,curated,application_rows,rows
post,Cross-field logic,decision.loan_approved,R_APP_015,Approved loan missing approved_amount and/or interest_rate.,0,0.0,high,,flag_approved_missing_required_fields,APP,decision.loan_approved_clean,clean_loan_approved|clean_approved_amount|clean_interest_rate,clean,curated,application_rows,rows
post,Cross-field logic,decision.rejection_reason,R_APP_016,Rejected loan missing rejection_reason.,0,0.0,medium,,flag_rejected_missing_reason,APP,decision.loan_approved_clean|decision.rejection_reason_clean,clean_loan_approved|clean_rejection_reason,clean,curated,application_rows,rows
post,Plausibility,financials.credit_history_months,R_APP_017,Loan approved with zero months of credit history.,11,2.19,medium,app_047|app_144|app_195|app_223|app_286,flag_approved_credit_history_zero,APP,decision.loan_approved_clean|financials.credit_history_months_clean,clean_loan_approved|clean_credit_history_months,clean,curated,application_rows,rows
post,Plausibility,financials.credit_history_months,R_APP_018,Loan approved with less than 6 months of credit history.,17,3.39,medium,app_047|app_144|app_195|app_223|app_236,flag_approved_credit_history_lt6,APP,decision.loan_approved_clean|financials.credit_history_months_clean,clean_loan_approved|clean_credit_history_months,clean,curated,application_rows,rows
post,Synthetic indicator,applicant_info.ip_address,R_APP_019,IP address is private-range (likely masked/synthetic).,497,99.0,low,app_001|app_002|app_003|app_004|app_005,flag_private_ip_address,APP,applicant_info.ip_address_raw,raw_applicant_ip_address,raw,curated,application_rows,rows
post,Uniqueness,_id,R_DUP_001,Rows with duplicated application_id values.,4,0.8,high,app_001|app_042,dup_rows_application_id,DUP,_id_duplicate_rows,application_id|is_duplicate_id,metadata,quality,application_rows,rows
post,Uniqueness,_id,R_DUP_002,Distinct application_id keys that are duplicated.,2,0.4,high,app_001|app_042,dup_distinct_application_id,DUP,_id_duplicate_distinct_ids,application_id,metadata,quality,application_rows,distinct_ids
post,Uniqueness,applicant_info.ssn,R_DUP_003,Rows where SSN repeats across one or more records.,6,1.2,high,app_016|app_042|app_088|app_101|app_234,dup_rows_ssn,DUP,applicant_info.ssn_duplicate_rows,raw_applicant_ssn|application_id,raw,quality,application_rows,rows
post,Uniqueness,applicant_info.ssn,R_DUP_004,Distinct SSN values that appear across different application IDs.,2,0.4,high,app_016|app_088|app_101|app_234,dup_distinct_ssn_cross_app,DUP,applicant_info.ssn_cross_application_distinct,raw_applicant_ssn|application_id,raw,quality,application_rows,distinct_ids
post,Completeness,spending_behavior[].category,R_SPN_001,Spending category missing or blank.,0,0.0,medium,,flag_spending_missing_category,SPN,spending_behavior[].category_clean,category_clean,clean,curated,spending_rows,rows
post,Validity,spending_behavior[].amount,R_SPN_002,Spending amount cannot be parsed as numeric.,0,0.0,high,,flag_spending_amount_non_numeric,SPN,spending_behavior[].amount_clean,amount_non_numeric_flag,derived,curated,spending_rows,rows
post,Validity,spending_behavior[].amount,R_SPN_003,Clean spending amount remains negative after remediation.,0,0.0,high,,flag_spending_amount_negative,SPN,spending_behavior[].amount_clean,amount_clean,clean,curated,spending_rows,rows
